"","Valence.Evaluation","Equality","Activity.Intensity","Socioemotional","Formality.and.Regulation","Intimacy","Visibility","Communal.Sharing","Expected.Reciprocity","Strategic","Concreteness","Uniqueness","Love.Expression","Information.Exchange","Money.Exchange","Goods.Exchange","Service.Exchange","Attachment","Mating","Conflict","Negotiation","Coercion","Importance.for.society","Importance.for.individuals","Affiliation.Coalition","Occupational","Activeness","Endurance","Synchronicity","Spatial.Distance","Morality","Trust","Generation.Gap"
"Parent.and.Child",89.4703584995252,29.8895374687041,91.3348290598291,87.0669235085902,27.7943980402314,79.9655831822498,60.6020461020461,91.2164389622723,40.3164378831046,24.152462660796,46.2290943624277,82.9474784474784,98.3076622451622,88.0012464387464,36.8626817626818,33.6966894216894,46.0561934978602,97.0876406001406,53.799288365955,29.6644178352512,42.606826969327,30.8058665100332,83.4758346319621,93.5661110675816,82.2845385460581,29.6076645576646,80.4800557013792,91.7008388035349,73.47230730417,91.371042492366,91.5829877094583,94.6035062069376,83.0314423049717
"Parent.and.Teenager",71.7551303634637,31.8379381421048,80.7486844945178,81.9908357075024,26.7113517655184,66.1295832254166,59.4268097643098,86.0756615298282,41.3983585858586,27.454870284037,47.0986726236726,77.6802802136135,86.8756834215168,75.2496301537968,40.5968314093314,35.0979622229622,42.0681798140131,83.5395837187504,52.4804225095892,48.4276012567679,51.6961775878442,35.9319313402647,79.2802870422968,88.7148100628493,76.1983753900421,30.6183219830279,76.0263405077131,84.774949877646,66.0419227105502,84.0677550934904,88.6061415527102,84.2860146117499,77.8900014201485
"Wife.and.Husband",87.8266878183545,86.8443721402055,91.4593391176724,86.9360852110852,27.9928062678063,92.3260381593715,55.7353179228179,90.9951998618665,69.0148061814728,29.307188336355,48.3408346283346,87.8489364031031,95.7503382420049,83.9912242078909,48.4369024494024,38.3473154931488,43.3041370666371,90.4294435502769,90.9246329287996,40.7530631405631,56.7401544443211,23.279321295988,76.6587044944888,92.6162591402788,83.8969870180655,35.6547302280146,83.4816148901933,85.6738305539776,80.2701501838757,88.6322621459876,90.4644105440674,92.3356007554537,25.936827388298
"Fiance.and.Fiancee",86.2753367003367,85.6765097556764,86.7137593887594,84.4219502719503,29.1471456013123,85.4711560044893,54.6561976603643,84.9758395925062,65.7883503841837,31.5469664594665,45.0912706121039,80.9512996262996,92.322391034891,77.9993646785313,41.0895966687633,36.779022674856,38.3584201292535,84.6697811447811,83.0408779492113,30.3654368779369,54.3336714211714,17.8484376734377,58.6786654521949,84.2174350431703,76.8914847860926,31.9106505876114,78.2708419304008,71.3305395040689,73.1100991510305,79.0191070276855,88.0521653274104,87.3190443362012,25.8687181917574
"Between.Siblings",75.3102110852111,75.0463308296642,77.4209024000691,83.2274335232669,25.4347545972546,62.8172602089269,61.1995640162307,76.9644047310714,56.2413191746525,35.4301519468186,46.8972524389191,81.2221846055179,83.2608830983831,71.2073944573944,29.3096110679444,33.3046512129845,28.5422074838741,79.3248060581394,17.3524657441324,48.0834168917502,48.521238946239,28.1466911175244,69.5502714061538,86.0341547069488,76.3751944043611,27.4986666293039,70.9381722398879,90.8031371497058,68.9544496806752,74.2821191789329,87.9194929888557,83.2266924977709,32.5109652420927
"Between.divorced.spouses",30.1359611067944,63.0727758352758,32.3478017353017,33.5543317793318,65.447940947941,22.6228913062246,47.8693689027022,28.2318268151601,50.1103815937149,67.0767385392385,58.691839333506,56.2284237367571,29.8662810954478,36.6036705578372,47.7613141488141,34.167791005291,24.785892656726,26.1294618961286,27.9486655319989,75.7191700275034,61.0966810966811,39.6250738459072,49.7382787782298,50.1892538198911,34.8180082172729,24.1999511835296,36.6306401568657,37.062139730277,38.9349088184873,24.5189315677061,52.2636941489883,28.7044366127699,26.9955261514085
"Between.a.person.and.their.in.laws",62.3709563584564,49.0609006734007,50.168253043253,53.3100805059138,54.0370737287404,36.3568829318829,57.6493384701718,57.0875755417422,50.3045702754036,44.4484406026073,47.5888284554951,64.2925813384147,51.5007430840764,48.2981139231139,27.7867398034065,28.261525974026,29.2155982905983,43.6713841713842,17.1225504433838,45.9258667258667,40.6608716900384,24.7799592382926,50.3929807665102,61.4555957114781,46.4400230579152,29.7402561309424,49.2155476241261,59.3629141192867,46.9850926669554,39.0691191705898,72.654101689886,53.3278297229278,74.2100241896811
"Between.cousins",74.0638845722179,72.7011903220237,60.3263910472244,70.0993395493395,36.6935595268929,45.2658292324959,62.1443430026763,63.2750161875162,53.2046188379522,34.2250388500388,43.5507338340672,64.7556887556888,64.1710824669158,57.6137103637104,23.0695454237121,27.6767379225713,23.4434270975938,51.9062001270335,15.878724053724,27.1399253524254,36.5031392989726,18.4325418408752,51.1105633201221,62.6827884080335,57.1102846771964,26.5106180946867,53.5375286024796,72.0230677728227,53.5236877864329,43.3637473365415,78.2739328300603,66.456577699715,36.2882592987985
"Employer.and.Employee",76.7028428361762,30.8325618825619,62.2562903146237,27.7445785695786,85.4434590101257,23.0802567802568,77.8902245902246,37.9942048692049,70.0371122704456,76.2223208889876,76.4690926357593,46.4173420715087,25.2017195767196,78.9872815456149,84.4530062530062,47.4803230719897,74.4974406766074,39.0896164021164,16.444093714927,44.5666045374379,60.2418430335097,37.6797418630752,81.5232315614668,73.7561807110827,71.3139538928755,91.7246704094743,72.8057303172499,68.8586215980824,75.001091863837,70.7262900498195,77.9719079939668,67.6424179578591,60.2951278115494
"Interviewer.and.Job.applicant",64.5030814864148,33.2683227266561,31.5334045584046,26.5176428509762,85.9242701742702,18.9697543197543,64.464405039405,33.5168032584699,53.6486239069572,76.0399279732613,57.6892872559539,39.1016734808401,18.7614317780984,68.4482383357383,50.4304693763027,34.1552869969537,45.418131713965,21.407068702902,15.8610429693763,27.64389329806,53.524360670194,24.6584155042488,67.6902085840811,62.7586759373524,49.788049486824,84.6584601038032,62.0873230799701,23.9594955969956,61.4857236264099,60.8583843081392,72.4450168477129,50.8520675584401,55.1667644265683
