,Parent and Child,Parent and Teenager,Wife and Husband,Fiance and Fiancee,Between Siblings,Between divorced spouses,Between a person and their in-laws,Between cousins,Employer and Employee,Interviewer and Job applicant,Guard and Prisoner,Nurse and Patient,Therapist and Patient,Salesperson and Customer,Between Business Partners,Between opposing negotiators,Between political opponents,Between business rivals,Between enemies,Teacher and Student,Professor and Graduate student,Master and Servant,Between Close Friends,Between casual acquaintances,Between teammates in sports,Between second cousins,Parent and Infant,Grandparent and Grandchild,Step-parent and Step-child,Foster-parent and Foster-child,Godparent and Godchild,Step-grandparent and Step-grandchild,Ancestor and Descendant,Bride and Groom,Man and His Mistress,Man Wife and Man Mistress,Brother and Sister,Between step-siblings,Between distant relatives,Between close relatives,Between twins,Between a person and their family friends,Between a person and their deceased spouse,Manager and Staff,Foreman and Laborer,Owner and Manager,Union leader and union member,Manager and Assistant,Chief and Deputy,Supervisor and Subordinate,Boss and Secretary,Entrepreneur and Investor,Intern and Employee,Lawyer and Client,Judge and Lawyer,Victim and Criminal,Drug dealer and Addict,Victim and Witness,Criminal and Police officer,Criminal and Prosecutor,Criminal and Hostage,Defendant and Plaintiff,Police officer and Offender,Police officer and Civilian,Parole officer and Parolee,Consultant and Client,Chef and Customer,Customer and Server,Customer and Businessman,Doctor and Patient,Doctor and Nurse,Patient and Caretaker,Driver and Passenger,Coach and athlete,Team Captain and Team Members,Club Member and Club President,Politician and Supporter,Leader and Follower,Representative and Citizen,Officer and Soldier,Babysitter and Infant,Religious leader and Congregant,Between religious followers,Prostitute and Customer,Guide and Tourist,Athlete and Referee,Slave and Master,Reader and Writer,Reviewer and Writer,Performer and Audience,Dealer and Buyer,Sugar-daddy and Sugar-baby,Director and Performer,Psychologist and Client,Judge and Contestant,Man and God,Between Co-workers,Between sports rivals,Between romantic rivals,Between criminal and their accomplice,Between diplomats,Principal and Teacher,Professor and Teaching Assistant,University student and Administrator,Student and Dorm Resident assistant,Mentor and Mentee,Athletic trainer and Trainee,Researcher and Research Subject,Between peers,Between classmates,Between roommates,Between sorority sisters,Between fraternity brothers,Bride and Bridesmaid,Groom and Groomsman,Predecessor and Successor,Landlord and Tenant,Landlord and Housekeeper,Guest and Host,Television host and Guest,Volunteer and Organizer,Celebrity and Fans,Celebrity and Haters,Native and Tourist,Bully and Victim,Between friends,Between Facebook Friends,Between a person and their social media follower,Between childhood friends,Between pen-friends,Between friends with benefits,Between political allies,Between romantic lovers,Between ex-lovers,Between life-partners,Between soul-mates,Between strangers,Between neighbors,Between church members,Between fans of the same sports team,Between fans of opposing sports teams,Superior and Subordinate,Aunt and Niece/Nephew,Uncle and Niece/Nephew,Between frenemies,Between half-siblings,Between adoptive parents and adopted kids,Mother and Infant,Between alumni,Between a monarch and their minister,Between confidants,Between a person and their significant other,Between companions,Between playmates,Between competitors in sports,Between a person and their crush,Between cohabitants,Between long-distance lovers,Between brothers-in-arms
Valence Evaluation,76.5,63.625,80.75,88.125,60.5,35.75,50.625,72.5,82.22222222222223,62.888888888888886,40.55555555555556,81.22222222222223,79.33333333333333,54.55555555555556,55.0,27.333333333333332,6.2727272727272725,6.545454545454546,8.272727272727273,92.63636363636364,94.0909090909091,42.72727272727273,93.27272727272727,63.45454545454545,62.166666666666664,76.0,89.41666666666667,90.58333333333333,73.91666666666667,73.5,84.0,80.66666666666667,78.44444444444444,88.11111111111111,62.22222222222222,5.0,68.66666666666667,47.888888888888886,76.88888888888889,80.0,68.9,79.9,57.3,63.0,66.6,56.4,55.3,50.4,81.22222222222223,75.11111111111111,65.55555555555556,66.0,46.55555555555556,76.33333333333333,41.44444444444444,15.444444444444445,78.72727272727273,71.0909090909091,7.2727272727272725,8.454545454545455,27.181818181818183,11.545454545454545,14.454545454545455,68.0909090909091,59.72727272727273,67.63636363636364,64.45454545454545,66.45454545454545,56.81818181818182,68.0,70.0909090909091,69.36363636363636,71.6,75.9,69.1,70.0,73.0,64.5,62.0,63.7,71.5,68.5,64.0,65.375,73.125,56.375,51.0,73.125,53.57142857142857,62.42857142857143,54.42857142857143,69.85714285714286,66.42857142857143,91.0,42.714285714285715,58.57142857142857,74.08333333333333,25.75,27.083333333333332,77.08333333333333,51.583333333333336,77.33333333333333,71.08333333333333,57.166666666666664,72.0,83.76923076923077,74.84615384615384,68.07692307692308,69.38461538461539,62.84615384615385,66.46153846153847,65.46153846153847,59.55555555555556,87.33333333333333,88.44444444444444,46.0,55.0,63.55555555555556,81.55555555555556,65.55555555555556,92.66666666666667,81.66666666666667,19.333333333333332,54.0,13.222222222222221,87.66666666666667,67.77777777777777,54.333333333333336,82.5,72.83333333333333,74.0,54.416666666666664,76.83333333333333,36.25,78.91666666666667,81.0,47.888888888888886,53.0,78.22222222222223,68.22222222222223,21.0,51.0,79.66666666666667,78.33333333333333,39.18181818181818,59.27272727272727,75.63636363636364,83.81818181818181,63.72727272727273,64.45454545454545,82.0,88.0909090909091,68.5,68.41666666666667,26.166666666666668,71.83333333333333,63.333333333333336,78.41666666666667,65.08333333333333
Equality,22.625,29.875,80.75,84.25,67.25,48.5,59.125,73.125,21.11111111111111,19.11111111111111,19.555555555555557,57.22222222222222,54.666666666666664,45.55555555555556,55.22222222222222,19.0,66.36363636363636,65.63636363636364,61.90909090909091,33.36363636363637,40.36363636363637,22.0,85.54545454545455,70.54545454545455,78.16666666666667,80.08333333333333,18.0,18.25,17.166666666666668,18.416666666666668,23.083333333333332,24.416666666666668,42.111111111111114,93.0,25.0,21.444444444444443,90.0,73.11111111111111,80.88888888888889,81.22222222222223,88.1,89.2,65.3,25.5,26.5,24.7,39.8,29.4,33.888888888888886,13.777777777777779,12.0,44.0,28.11111111111111,23.77777777777778,18.22222222222222,30.0,49.72727272727273,60.81818181818182,8.090909090909092,13.090909090909092,12.363636363636363,16.09090909090909,7.636363636363637,39.72727272727273,22.545454545454547,41.45454545454545,54.90909090909091,59.18181818181818,47.63636363636363,30.727272727272727,39.72727272727273,44.0,47.9,22.6,46.7,38.0,37.3,25.4,35.5,29.9,21.625,24.375,65.875,28.5,50.5,42.25,33.375,55.75,50.142857142857146,43.857142857142854,47.42857142857143,23.285714285714285,44.0,53.57142857142857,18.285714285714285,16.714285714285715,74.0,74.91666666666667,62.916666666666664,52.416666666666664,49.25,40.25,40.833333333333336,36.25,36.61538461538461,37.0,38.0,34.53846153846154,74.46153846153847,73.84615384615384,76.38461538461539,73.07692307692308,71.55555555555556,53.888888888888886,53.888888888888886,50.55555555555556,26.555555555555557,19.666666666666668,59.55555555555556,38.333333333333336,19.88888888888889,4.111111111111111,3.3333333333333335,52.77777777777778,22.555555555555557,92.33333333333333,75.66666666666667,28.11111111111111,86.5,59.666666666666664,71.75,48.666666666666664,77.08333333333333,54.916666666666664,83.08333333333333,85.75,60.333333333333336,63.55555555555556,69.22222222222223,71.0,41.77777777777778,27.444444444444443,68.11111111111111,65.0,69.81818181818181,74.18181818181819,45.45454545454545,37.90909090909091,75.63636363636364,30.727272727272727,83.27272727272727,85.0909090909091,59.416666666666664,66.91666666666667,49.416666666666664,60.583333333333336,66.75,76.0,55.833333333333336
Activity Intensity,92.625,84.375,82.25,88.75,77.625,47.0,50.75,59.75,47.333333333333336,39.55555555555556,48.333333333333336,48.0,51.55555555555556,32.22222222222222,56.111111111111114,34.44444444444444,45.54545454545455,46.54545454545455,62.27272727272727,58.54545454545455,58.09090909090909,51.27272727272727,80.54545454545455,26.363636363636363,63.583333333333336,45.75,93.41666666666667,73.41666666666667,78.75,78.33333333333333,51.583333333333336,57.416666666666664,34.44444444444444,97.22222222222223,72.77777777777777,20.88888888888889,91.11111111111111,72.22222222222223,29.77777777777778,91.44444444444444,76.4,81.7,45.1,49.7,55.1,45.6,32.3,50.0,69.66666666666667,58.111111111111114,45.666666666666664,36.333333333333336,45.77777777777778,57.111111111111114,46.666666666666664,35.55555555555556,62.0,37.63636363636363,39.27272727272727,26.727272727272727,45.54545454545455,42.36363636363637,51.0,48.63636363636363,49.45454545454545,46.81818181818182,36.27272727272727,40.45454545454545,37.81818181818182,57.54545454545455,55.09090909090909,60.63636363636363,28.5,75.7,76.0,56.3,29.6,55.5,34.6,74.2,67.0,58.75,49.625,42.25,50.75,46.375,63.625,49.125,45.285714285714285,35.857142857142854,61.142857142857146,69.42857142857143,60.285714285714285,61.857142857142854,30.428571428571427,41.285714285714285,69.75,47.666666666666664,39.083333333333336,72.16666666666667,40.5,56.75,60.0,27.666666666666668,54.30769230769231,58.07692307692308,55.07692307692308,45.0,58.15384615384615,47.30769230769231,62.69230769230769,65.6923076923077,70.88888888888889,85.0,84.88888888888889,40.44444444444444,29.444444444444443,44.44444444444444,64.55555555555556,27.666666666666668,54.666666666666664,3.5555555555555554,13.88888888888889,30.444444444444443,64.0,93.66666666666667,40.55555555555556,17.333333333333332,74.0,32.916666666666664,50.916666666666664,43.333333333333336,79.41666666666667,29.666666666666668,79.5,81.16666666666667,36.333333333333336,50.111111111111114,61.666666666666664,58.888888888888886,37.333333333333336,33.666666666666664,77.33333333333333,74.55555555555556,35.81818181818182,49.90909090909091,70.9090909090909,76.54545454545455,38.36363636363637,55.63636363636363,75.36363636363636,84.9090909090909,58.583333333333336,50.25,47.25,70.66666666666667,62.0,72.08333333333333,61.916666666666664
Socioemotional,83.875,83.875,87.875,82.5,85.25,39.625,47.125,66.625,25.77777777777778,42.111111111111114,23.444444444444443,38.77777777777778,47.111111111111114,33.22222222222222,45.888888888888886,35.44444444444444,14.636363636363637,15.636363636363637,47.27272727272727,20.727272727272727,12.818181818181818,17.0,96.0,51.09090909090909,30.666666666666668,72.08333333333333,93.58333333333333,91.25,81.0,76.91666666666667,74.58333333333333,78.83333333333333,61.77777777777778,98.77777777777777,76.11111111111111,24.88888888888889,92.44444444444444,80.11111111111111,46.44444444444444,90.22222222222223,82.9,89.1,60.5,20.5,29.7,26.4,30.2,27.7,17.666666666666668,15.333333333333334,23.0,23.22222222222222,18.555555555555557,29.666666666666668,17.555555555555557,25.666666666666668,26.818181818181817,35.81818181818182,22.454545454545453,14.0,22.272727272727273,19.363636363636363,19.727272727272727,45.54545454545455,16.272727272727273,23.0,33.54545454545455,31.90909090909091,22.727272727272727,27.90909090909091,25.636363636363637,39.54545454545455,43.6,34.1,35.1,27.7,32.1,33.2,35.4,34.6,42.0,45.375,64.5,36.875,39.0,28.75,30.25,53.875,24.0,48.142857142857146,23.285714285714285,56.857142857142854,44.857142857142854,51.714285714285715,21.571428571428573,51.0,26.25,30.083333333333332,64.0,26.583333333333332,30.583333333333332,18.166666666666668,19.333333333333332,26.75,46.38461538461539,34.69230769230769,30.46153846153846,23.923076923076923,64.61538461538461,58.46153846153846,68.53846153846153,70.15384615384616,79.88888888888889,81.77777777777777,82.11111111111111,21.666666666666668,14.333333333333334,15.777777777777779,61.0,31.88888888888889,7.666666666666667,30.0,31.444444444444443,17.555555555555557,47.44444444444444,96.44444444444444,63.77777777777778,22.555555555555557,79.16666666666667,46.333333333333336,62.666666666666664,26.75,80.83333333333333,46.833333333333336,83.0,81.66666666666667,32.22222222222222,55.22222222222222,61.22222222222222,68.44444444444444,43.666666666666664,39.888888888888886,80.66666666666667,77.11111111111111,56.27272727272727,80.36363636363636,83.0,92.0909090909091,43.09090909090909,34.18181818181818,74.45454545454545,88.9090909090909,61.916666666666664,57.083333333333336,29.5,65.58333333333333,51.0,77.41666666666667,48.083333333333336
Formality and Regulation,27.0,29.375,24.5,23.75,27.625,62.875,48.375,35.5,72.66666666666667,73.22222222222223,53.77777777777778,60.333333333333336,58.333333333333336,68.55555555555556,70.22222222222223,66.77777777777777,92.0909090909091,92.81818181818181,57.90909090909091,84.0,86.27272727272727,92.0909090909091,4.0,27.818181818181817,65.41666666666667,27.166666666666668,23.75,26.166666666666668,29.083333333333332,33.833333333333336,26.0,31.5,23.77777777777778,5.777777777777778,19.333333333333332,46.888888888888886,6.444444444444445,12.777777777777779,25.333333333333332,7.222222222222222,16.1,19.2,19.9,72.8,80.4,73.8,70.8,73.8,73.11111111111111,71.11111111111111,74.88888888888889,45.44444444444444,64.0,77.77777777777777,78.77777777777777,22.88888888888889,54.09090909090909,66.0,82.63636363636364,78.18181818181819,53.63636363636363,74.18181818181819,80.27272727272727,48.27272727272727,68.9090909090909,66.54545454545455,55.45454545454545,56.63636363636363,64.36363636363636,71.9090909090909,70.45454545454545,55.54545454545455,52.0,69.9,59.9,55.6,74.9,66.9,77.9,79.7,51.125,73.375,49.875,62.375,64.25,73.375,74.375,48.5,73.71428571428571,68.42857142857143,86.28571428571429,35.285714285714285,80.71428571428571,84.71428571428571,87.85714285714286,25.714285714285715,65.08333333333333,48.083333333333336,28.916666666666668,46.833333333333336,71.16666666666667,72.75,70.91666666666667,73.33333333333333,65.84615384615384,75.38461538461539,66.84615384615384,82.38461538461539,42.07692307692308,45.69230769230769,37.38461538461539,37.53846153846154,23.11111111111111,21.333333333333332,21.0,70.0,83.11111111111111,78.66666666666667,42.888888888888886,68.0,87.0,55.666666666666664,48.55555555555556,62.111111111111114,14.777777777777779,19.77777777777778,29.11111111111111,56.888888888888886,15.083333333333334,20.75,20.916666666666668,72.0,24.25,32.916666666666664,21.583333333333332,29.0,67.33333333333333,51.333333333333336,52.0,35.22222222222222,67.0,68.22222222222223,36.77777777777778,34.55555555555556,41.81818181818182,38.90909090909091,34.0,31.363636363636363,66.81818181818181,82.18181818181819,39.18181818181818,28.727272727272727,37.666666666666664,41.916666666666664,55.166666666666664,52.166666666666664,43.416666666666664,40.0,45.333333333333336
Intimacy,74.875,58.125,95.75,96.125,46.625,11.0,24.875,25.75,12.777777777777779,10.0,13.11111111111111,38.666666666666664,49.888888888888886,9.333333333333334,29.77777777777778,14.0,6.454545454545454,4.2727272727272725,17.454545454545453,12.727272727272727,10.818181818181818,20.545454545454547,66.72727272727273,24.181818181818183,23.666666666666668,31.416666666666668,88.16666666666667,79.83333333333333,68.41666666666667,64.58333333333333,55.5,62.916666666666664,20.333333333333332,99.33333333333333,92.11111111111111,13.555555555555555,27.22222222222222,22.88888888888889,10.11111111111111,34.77777777777778,58.7,61.8,71.4,15.9,10.6,10.5,16.5,18.9,4.333333333333333,8.11111111111111,10.11111111111111,5.555555555555555,9.11111111111111,13.444444444444445,13.444444444444445,19.22222222222222,30.363636363636363,21.90909090909091,5.7272727272727275,10.090909090909092,15.272727272727273,13.909090909090908,6.090909090909091,32.45454545454545,10.727272727272727,12.0,13.636363636363637,14.0,13.090909090909092,20.90909090909091,16.90909090909091,31.0,33.9,49.8,52.9,44.0,30.5,38.8,29.5,36.2,56.5,39.75,29.125,79.5,23.25,21.125,31.0,20.75,16.857142857142858,28.0,3.857142857142857,96.85714285714286,18.857142857142858,30.714285714285715,7.714285714285714,45.42857142857143,21.25,13.833333333333334,32.583333333333336,26.583333333333332,12.25,14.0,17.083333333333332,12.5,20.384615384615383,26.615384615384617,20.76923076923077,14.307692307692308,40.46153846153846,42.53846153846154,51.84615384615385,58.92307692307692,52.888888888888886,71.44444444444444,57.888888888888886,31.11111111111111,11.88888888888889,15.222222222222221,42.22222222222222,15.0,3.6666666666666665,2.5555555555555554,5.444444444444445,4.888888888888889,23.666666666666668,51.0,27.444444444444443,9.0,49.083333333333336,26.75,66.5,15.583333333333334,88.83333333333333,33.666666666666664,88.91666666666667,81.58333333333333,16.444444444444443,25.666666666666668,28.88888888888889,36.0,13.666666666666666,17.77777777777778,51.55555555555556,51.333333333333336,17.454545454545453,49.45454545454545,59.90909090909091,80.36363636363636,24.181818181818183,21.545454545454547,45.72727272727273,88.72727272727273,45.583333333333336,31.916666666666668,21.5,68.0,41.333333333333336,79.58333333333333,49.333333333333336
Visibility,44.875,46.125,42.125,43.625,33.25,45.625,30.0,36.875,76.66666666666667,67.77777777777777,57.333333333333336,51.22222222222222,36.77777777777778,75.55555555555556,70.11111111111111,71.0,93.0909090909091,87.72727272727273,41.45454545454545,93.36363636363636,94.0909090909091,22.545454545454547,33.81818181818182,50.27272727272727,90.91666666666667,68.25,64.66666666666667,68.83333333333333,57.0,56.666666666666664,53.333333333333336,67.66666666666667,48.333333333333336,52.888888888888886,12.444444444444445,21.333333333333332,82.0,79.55555555555556,68.11111111111111,79.88888888888889,77.6,72.8,29.4,63.5,59.4,60.6,63.4,63.9,69.77777777777777,68.22222222222223,67.44444444444444,59.0,66.88888888888889,51.333333333333336,52.111111111111114,41.666666666666664,20.90909090909091,59.90909090909091,72.18181818181819,75.72727272727273,33.45454545454545,77.27272727272727,77.36363636363636,79.18181818181819,44.54545454545455,38.45454545454545,58.90909090909091,75.27272727272727,62.90909090909091,26.545454545454547,46.0,35.45454545454545,71.9,79.7,74.4,71.3,66.3,57.6,74.3,63.8,48.375,78.0,77.25,28.75,66.0,84.375,56.0,44.375,70.28571428571429,82.28571428571429,80.28571428571429,16.714285714285715,63.0,23.714285714285715,86.57142857142857,14.0,73.25,69.25,41.916666666666664,21.333333333333332,55.0,70.83333333333333,69.16666666666667,60.666666666666664,82.6923076923077,75.0,66.46153846153847,58.0,70.61538461538461,72.15384615384616,61.53846153846154,68.46153846153847,70.11111111111111,78.44444444444444,78.11111111111111,66.22222222222223,49.888888888888886,48.888888888888886,56.44444444444444,89.11111111111111,94.0,73.55555555555556,67.44444444444444,67.11111111111111,50.888888888888886,66.11111111111111,51.55555555555556,66.0,76.25,29.25,24.833333333333332,62.666666666666664,64.41666666666667,43.0,77.08333333333333,72.0,55.666666666666664,55.333333333333336,60.333333333333336,79.11111111111111,66.66666666666667,69.11111111111111,57.77777777777778,57.22222222222222,55.90909090909091,54.45454545454545,68.18181818181819,72.54545454545455,62.45454545454545,74.0,51.45454545454545,67.54545454545455,61.5,61.166666666666664,72.58333333333333,37.166666666666664,55.666666666666664,42.666666666666664,52.416666666666664
Communal Sharing,87.75,85.0,87.375,83.125,73.0,14.375,36.125,37.875,46.0,36.888888888888886,36.888888888888886,61.666666666666664,52.55555555555556,39.111111111111114,71.77777777777777,29.77777777777778,10.727272727272727,9.545454545454545,12.272727272727273,53.0,49.81818181818182,18.09090909090909,88.0909090909091,57.27272727272727,55.333333333333336,60.0,86.0,82.41666666666667,72.16666666666667,70.25,67.91666666666667,68.58333333333333,67.66666666666667,97.55555555555556,43.888888888888886,14.11111111111111,93.66666666666667,90.33333333333333,56.888888888888886,93.33333333333333,83.7,82.5,64.0,20.8,18.3,21.8,30.5,26.5,37.888888888888886,18.333333333333332,20.333333333333332,29.666666666666668,29.555555555555557,15.777777777777779,26.444444444444443,16.333333333333332,19.272727272727273,44.81818181818182,17.636363636363637,25.90909090909091,11.727272727272727,29.727272727272727,22.09090909090909,55.90909090909091,25.0,23.636363636363637,26.636363636363637,28.181818181818183,28.727272727272727,28.727272727272727,25.0,40.27272727272727,50.1,62.2,64.0,61.6,30.5,45.6,38.3,52.6,54.0,60.75,64.75,31.625,33.375,57.125,39.75,46.75,25.428571428571427,37.142857142857146,29.571428571428573,37.857142857142854,28.571428571428573,14.857142857142858,8.428571428571429,49.0,52.5,19.166666666666668,13.083333333333334,40.083333333333336,26.416666666666668,41.416666666666664,46.166666666666664,47.083333333333336,31.076923076923077,39.61538461538461,34.61538461538461,33.69230769230769,49.15384615384615,50.0,60.0,58.53846153846154,83.0,83.66666666666667,84.44444444444444,42.111111111111114,13.222222222222221,11.11111111111111,53.666666666666664,13.555555555555555,33.22222222222222,15.11111111111111,18.333333333333332,20.333333333333332,26.11111111111111,90.0,57.333333333333336,21.666666666666668,69.66666666666667,43.083333333333336,40.75,29.25,80.83333333333333,36.583333333333336,86.5,87.91666666666667,21.22222222222222,48.44444444444444,55.44444444444444,51.0,25.333333333333332,40.333333333333336,77.44444444444444,74.55555555555556,23.454545454545453,67.81818181818181,86.18181818181819,92.63636363636364,37.0,38.0,60.63636363636363,84.63636363636364,63.5,56.5,25.5,58.583333333333336,58.166666666666664,73.41666666666667,56.0
Expected Reciprocity,34.875,39.875,64.125,68.625,58.625,20.625,21.375,32.875,70.44444444444444,59.0,39.44444444444444,48.22222222222222,57.44444444444444,48.55555555555556,73.77777777777777,54.111111111111114,37.18181818181818,24.818181818181817,17.727272727272727,53.36363636363637,54.90909090909091,21.363636363636363,78.63636363636364,65.81818181818181,83.25,63.166666666666664,52.583333333333336,44.833333333333336,41.0,39.916666666666664,46.0,41.75,45.0,84.0,54.0,20.333333333333332,83.0,80.44444444444444,53.77777777777778,79.88888888888889,92.3,89.5,62.2,36.2,40.7,35.8,37.5,41.6,48.666666666666664,58.666666666666664,42.888888888888886,54.111111111111114,47.333333333333336,46.333333333333336,59.55555555555556,13.333333333333334,59.27272727272727,29.818181818181817,25.90909090909091,25.727272727272727,25.0,41.54545454545455,30.818181818181817,52.54545454545455,41.0,62.0,64.54545454545455,69.0,74.45454545454545,53.90909090909091,50.18181818181818,50.63636363636363,38.3,45.4,61.6,50.8,53.7,36.6,46.2,45.7,30.875,44.75,60.875,35.875,40.875,37.875,23.5,59.5,24.714285714285715,33.285714285714285,44.857142857142854,65.42857142857143,45.57142857142857,46.0,29.857142857142858,22.142857142857142,73.41666666666667,43.5,25.666666666666668,59.916666666666664,71.25,51.916666666666664,45.0,41.0,54.07692307692308,57.30769230769231,56.30769230769231,50.92307692307692,67.38461538461539,65.3076923076923,70.38461538461539,70.46153846153847,81.55555555555556,57.0,58.55555555555556,56.111111111111114,21.11111111111111,15.88888888888889,48.333333333333336,26.77777777777778,61.333333333333336,13.222222222222221,3.6666666666666665,34.44444444444444,13.555555555555555,92.55555555555556,55.888888888888886,29.77777777777778,70.91666666666667,57.25,72.25,48.333333333333336,74.08333333333333,37.166666666666664,74.83333333333333,71.0,32.77777777777778,57.55555555555556,66.55555555555556,55.22222222222222,18.0,38.111111111111114,71.88888888888889,69.55555555555556,51.18181818181818,76.18181818181819,63.63636363636363,61.81818181818182,66.72727272727273,50.27272727272727,75.63636363636364,86.0,64.0,75.66666666666667,70.75,45.333333333333336,54.333333333333336,62.666666666666664,69.41666666666667
Strategic,27.625,39.0,31.0,30.75,32.5,57.25,33.0,27.25,60.888888888888886,57.55555555555556,61.55555555555556,59.77777777777778,51.888888888888886,72.0,64.88888888888889,70.33333333333333,97.18181818181819,97.36363636363636,88.36363636363636,51.72727272727273,52.36363636363637,55.63636363636363,6.454545454545454,20.272727272727273,66.83333333333333,31.583333333333332,25.666666666666668,31.916666666666668,31.083333333333332,30.916666666666668,24.75,30.75,5.777777777777778,4.555555555555555,45.111111111111114,76.22222222222223,7.111111111111111,10.0,25.77777777777778,7.111111111111111,27.5,28.0,19.0,78.9,77.6,67.4,66.0,66.5,55.333333333333336,69.55555555555556,69.77777777777777,73.44444444444444,51.44444444444444,58.666666666666664,69.55555555555556,19.0,84.63636363636364,49.27272727272727,50.18181818181818,52.54545454545455,44.90909090909091,65.27272727272727,49.90909090909091,59.36363636363637,51.63636363636363,52.54545454545455,50.36363636363637,56.09090909090909,65.63636363636364,56.90909090909091,39.27272727272727,45.09090909090909,48.7,63.8,60.2,60.5,74.3,70.5,67.0,59.5,35.0,53.0,57.75,83.25,86.25,86.375,51.875,61.0,86.85714285714286,83.28571428571429,94.0,61.714285714285715,86.42857142857143,77.85714285714286,78.71428571428571,28.714285714285715,69.16666666666667,61.333333333333336,34.166666666666664,77.0,78.41666666666667,66.75,60.75,59.25,61.30769230769231,68.23076923076923,67.92307692307692,69.46153846153847,38.30769230769231,42.30769230769231,40.07692307692308,38.07692307692308,17.333333333333332,30.333333333333332,29.77777777777778,66.55555555555556,70.66666666666667,52.22222222222222,33.666666666666664,55.0,75.88888888888889,72.0,36.333333333333336,54.77777777777778,53.55555555555556,12.666666666666666,29.22222222222222,75.0,17.083333333333332,23.166666666666668,44.833333333333336,76.16666666666667,18.166666666666668,40.083333333333336,28.083333333333332,19.416666666666668,52.111111111111114,59.22222222222222,56.22222222222222,50.0,61.44444444444444,82.77777777777777,32.0,31.333333333333332,74.45454545454545,46.81818181818182,32.54545454545455,42.63636363636363,60.45454545454545,72.72727272727273,41.81818181818182,36.45454545454545,31.583333333333332,38.666666666666664,71.91666666666667,40.916666666666664,34.583333333333336,30.833333333333332,29.333333333333332
