,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Parent and Child,1.0381386361285923,-1.0445183303550198,1.776560028273739,1.509209437943078,-1.231580211357972,1.6888630233163346,0.26330371593314666,1.6008116198348852,-1.3019069459540158,-1.8111886615233341,-0.28178205187382593,1.6988241224751104,1.5654392320498431,0.7307271401760617,-1.2233047273793556,-1.3441793920009564,-0.33898349428019003,1.8045152986101756,1.9993973429318492,-0.6381814884789133,-0.8489791077053348,-0.7312999809678048,1.021460454900055,1.6616034048490143,0.6619395540867151,-1.239022503519459,1.3203318196524518,1.5635563744758154,0.23350092602311573,1.458976387216664,1.2107129141729207,1.262955505870739,2.0784063727856488
Parent and Teenager,0.5150539513334459,-1.2445372655312037,1.402279025181377,1.4909835513477343,-1.3100272538053435,1.4407375939898794,0.3699196676236408,1.522151762581179,-1.1074314982294733,-1.4683081083994878,0.3744858276718393,1.8745787521606871,1.5080727982440545,0.9864077479740135,-0.8729738387375999,-1.355970561886926,0.19364142473933196,1.373076686633914,1.985718993558235,0.15057706007141228,0.2857935970314822,0.41351300600924307,0.8445020947087041,1.492599006684554,0.738858290678717,-1.0872137801041646,0.45445854412447084,1.4803147936310217,-0.9497362335147597,1.275862429643601,0.7249662332078061,0.9261651898100036,2.009242837772177
Wife and Husband,0.8629669304032104,1.4460677877502772,1.8227001837450933,1.478521230608377,-0.5124464570256894,1.7429302109546052,-0.07841353426453752,1.2447630016308349,-0.7769779501593516,-1.4086767078562101,-0.5545956713530668,1.9217701573962633,1.6213757107607667,1.2838528867358512,-0.6218771223173336,-1.0699333680767755,0.04239290057893566,1.651169397918827,2.97250551370272,-0.7540977832794283,1.8475215213908471,-0.6014120634866171,0.932260080286225,1.5881143465861338,1.0001120081221104,-0.8484452944109029,1.4050986070214366,1.5059422289978805,1.4623652886048915,1.5324969929554813,0.9724050506546091,1.1782597163288382,-1.2976386800594113
Fiance and Fiancee,0.8233664661712532,1.4088185222517313,1.489210145079215,1.2327834912470297,-1.1034466511326624,1.692298730892011,-0.3327667247805454,1.2715623599902797,-0.46897678866658904,-0.956006050086277,-0.2502155353011631,1.705090713726948,1.5459783596190695,0.36398128804359253,-0.7692908268865604,-0.8874674452498046,-0.8909086472647794,1.5511772244907167,2.4025286953042073,-0.9619476911975932,1.0010144458704764,-0.8214701055001995,-0.5139247166443782,1.357722461595625,0.7244773521038513,-1.2692494656827078,1.5040777898774373,1.0303323767756885,1.1686462929185688,1.0277024033133584,0.8204327216909315,1.0672987888228862,-1.2961952000317865
Between Siblings,0.9045370512330914,1.2389546387112729,1.6522401187100053,1.586974319356665,-1.1436930802356626,1.4370196304621299,-0.37109594024174763,1.3948181391116938,0.2973992384626429,-1.6321081117668035,0.5295635145433585,1.9786098646096955,1.610400558010597,0.6503579613282082,-0.9809758911689488,-1.3025090272206978,-1.2001912985427423,1.517857795693567,0.6870357113633999,-0.866141874266564,0.40671374805305277,-1.075245608610297,0.518914837394846,1.5420537398838272,1.1245624380969097,-1.169896909719898,1.107281243494715,1.6482186805173398,-0.1396165883458991,0.9202762697899481,0.9152111634102142,1.1277483327312232,-0.8266200433528864
Between divorced spouses,-1.598455903647902,1.1283279366141343,-0.05148316365907766,0.79540066419632,-0.14591574743392421,-0.684216364546013,-1.175945900722247,-0.5370965586237942,-0.5223516523795895,0.8506908016168643,0.0020360060217178492,0.8338319459525738,-0.2993459577690206,-1.1749632683579898,0.03332444896714629,0.12483787630380672,-0.8342287881454588,-1.1737465158379459,1.2638061099508078,1.8846217508378988,1.0048097546093555,1.1022823380139395,-1.5504485338670217,-1.1883474248062758,-2.0512281638525955,-1.1884144250294577,-0.28866095364072036,0.07569803749483736,-1.413977510584191,-1.7766338117577236,-1.4656886570207361,-1.9103669799901921,-1.239707014950732
Between a person and their in-laws,0.2359993187496415,-0.7435520646239935,0.8038581974359579,1.0798557099317994,-0.8797183813992379,0.7948495113785766,0.16555884244249838,0.9803426658176484,-0.3355844520778332,-1.2757912161283025,-0.47263087281166005,1.113301964352753,0.9921823260502325,0.6191307227021524,-0.5732917036333474,-0.8442537336258328,-0.2733259742601732,0.6790915120943631,0.8201146521441901,0.9791165412000984,0.18938860686628525,0.12953050244287015,0.40591460738759816,0.7992602777765248,0.1495727012058645,-0.7170642356979587,0.47557410313375126,1.1935241223203583,-0.020502479898437717,0.8260569080241482,0.5630957532447225,0.2912530754584693,2.0426672316083243
Between cousins,0.4764671769953371,1.1283279366141343,0.8955102344090166,1.3488887507913996,-0.6747724942361981,1.0344022714222998,0.7092807964873765,1.2078725268520931,-0.3540391171629904,-1.2446903563621967,-0.9567910892217059,1.1218480413597183,1.43995015809968,0.6655680477365261,-1.1028436657231884,-1.1149690016664484,-1.108258745327902,1.028804789131634,0.07122502393880105,-1.0593773355342329,0.12686884123667092,-0.6065142824673596,-0.25557575931868465,1.090012955434267,0.8602973275331386,-1.1694121580102235,0.4736791170688157,1.4623700657200462,-1.0700783898036312,0.23093603011516442,0.7828481672160436,0.8585192716268644,-0.854663529181882
Employer and Employee,0.18161502675820979,-1.1079118272066026,-0.7235370902337488,-1.0435421749188192,1.28557214567527,-0.6276395953428638,0.7150311535572879,-0.7071235988820487,1.6233839076518273,0.9645702123765956,2.2084154537681764,-0.930139596598348,-0.7309437147814919,0.24642595814055981,1.836965261308023,1.790243725592285,1.7489256423563415,-0.32716975584918706,-0.491582059663042,0.4171246381855716,0.47575146193764517,1.1842188020880937,0.869192057646005,0.11343524354984684,0.4347075855205535,1.1800302244091037,-0.23902587360823785,0.07686989082951974,0.3642017964976746,0.6421849970025979,-0.042377920167367834,-0.008796478850185486,0.41801199553283175
Interviewer and Job applicant,0.024955797588862072,-0.9796188472492309,-1.7207503551511454,-1.381159102090312,1.1790797964816258,-1.2459666082833472,0.2825983413552716,-0.7334124932727419,0.5658636669897902,1.2666134495300994,-0.012204000343283443,-1.2159723380840464,-1.1352777757388441,0.03655337227092539,0.8916162449251207,0.7945431764217112,0.2549356725294468,-1.2232984868696046,-0.41407141321256036,0.14762606603621592,-0.3947804532354263,-0.2920830292365471,0.7861232963444187,-0.26995133586543235,-0.9898819043209259,1.329938931043443,-0.19934172742212813,-1.5681002041378629,0.6737871612851342,-0.09081517714801708,0.08688589987070316,-0.5482449042567898,0.3716016238860227
